event_title;venue_title;address;zip_code;city;state;phone_number;date;time;lowest_price;highest_price;source_url
Giant Rooks;The Crocodile;2200 2nd Avenue;98121;Seattle;WA;;2024-04-26;18:00;54;236;https://seatgeek.com/giant-rooks-tickets/seattle-washington-the-crocodile-2-2024-04-26-6-pm/concert/6219900
Zakir Hussain;Moore Theatre;1932 2nd Avenue;98101;Seattle;WA;;2024-04-26;20:00;66;410;https://seatgeek.com/zakir-hussain-tickets/seattle-washington-moore-theatre-2024-04-26-8-pm/concert/6063458
Cody Johnson;Tacoma Dome;2727 East D Street;98421;Tacoma;WA;;2024-04-27;19:30;99;2622;https://seatgeek.com/cody-johnson-tickets/tacoma-washington-tacoma-dome-2024-04-27-7-30-pm/concert/6248611
Tito Puente Jr.;Admiral Theatre;515 Pacific Avenue;98337;Bremerton;WA;;2024-05-03;20:00;54;150;https://seatgeek.com/tito-puente-jr-tickets/bremerton-washington-admiral-theatre-2024-05-03-8-pm/concert/6221264
Drew Holcomb & The Neighbors with Donovan Woods;Neptune Theatre - WA;1303 Northeast 45th Street;98105;Seattle;WA;;2024-05-07;20:00;48;544;https://seatgeek.com/drew-holcomb-the-neighbors-tickets/seattle-washington-neptune-theatre-wa-2024-05-07-8-pm/concert/6159718
Petey;The Showbox;1426 1st Ave;98101;Seattle;WA;;2024-05-07;20:30;56;451;https://seatgeek.com/petey-1-tickets/seattle-washington-the-showbox-2024-05-07-8-30-pm/concert/6255048
NEEDTOBREATHE with Judah & The Lion;White River Amphitheatre;40601 Auburn Enumclaw Rd.;98092;Auburn;WA;;2024-05-11;19:30;60;1188;https://seatgeek.com/needtobreathe-tickets/auburn-washington-white-river-amphitheatre-2024-05-11-7-30-pm/concert/6184190
Seattle Rock Orchestra;Moore Theatre;1932 2nd Avenue;98101;Seattle;WA;;2024-05-12;14:00;66;150;https://seatgeek.com/seattle-rock-orchestra-tickets/seattle-washington-moore-theatre-2024-05-12-2-pm/concert/6063446
Celtic Woman;Paramount Theatre - WA;911 Pine Street;98101;Seattle;WA;;2024-05-15;19:00;85;315;https://seatgeek.com/celtic-woman-tickets/seattle-washington-paramount-theatre-wa-2024-05-15-7-pm/concert/6202978
Riley Green with Tracy Lawrence and Ella Langley;Angel of the Winds Arena;2000 Hewitt Ave;98201;Everett;WA;;2024-05-17;19:30;482;500;https://seatgeek.com/riley-green-tickets/everett-washington-angel-of-the-winds-arena-2024-05-17-7-30-pm/concert/6171964
Wednesday with Draag;Neptune Theatre - WA;1303 Northeast 45th Street;98105;Seattle;WA;;2024-05-21;20:00;53;109;https://seatgeek.com/wednesday-1-tickets/seattle-washington-neptune-theatre-wa-2024-05-21-8-pm/concert/6225229
Two Door Cinema Club with Day Wave (Relocated from The Neptune Theatre);Paramount Theatre - WA;911 Pine Street;98101;Seattle;WA;;2024-05-22;19:00;69;11604;https://seatgeek.com/two-door-cinema-club-tickets/seattle-washington-paramount-theatre-wa-2024-05-22-7-pm/concert/6202638
Jacob Collier with Kimbra;Paramount Theatre - WA;911 Pine Street;98101;Seattle;WA;;2024-05-26;19:15;90;1164;https://seatgeek.com/jacob-collier-tickets/seattle-washington-paramount-theatre-wa-2024-05-26-7-15-pm/concert/6238559
Madison Beer with UPSAHL;Moore Theatre;1932 2nd Avenue;98101;Seattle;WA;;2024-06-08;20:00;69;1187;https://seatgeek.com/madison-beer-tickets/seattle-washington-moore-theatre-2024-06-08-8-pm/concert/6222780
The Drifters;Admiral Theatre;515 Pacific Avenue;98337;Bremerton;WA;;2024-06-08;20:00;141;155;https://seatgeek.com/the-drifters-tickets/bremerton-washington-admiral-theatre-2024-06-08-8-pm/concert/6222105
Jordan Davis with Mitchell Tenpenny and Ashley Cooke;Chateau Ste Michelle Winery;14111 N.E. 145th Street;98072;Woodinville;WA;;2024-06-21;18:00;148;148;https://seatgeek.com/jordan-davis-tickets/woodinville-washington-chateau-ste-michelle-winery-2024-06-21-6-pm/concert/6222690
Niall Horan;White River Amphitheatre;40601 Auburn Enumclaw Rd.;98092;Auburn;WA;;2024-07-23;19:30;56;4065;https://seatgeek.com/niall-horan-tickets/auburn-washington-white-river-amphitheatre-2024-07-23-7-30-pm/concert/6034640
Benise;Neptune Theatre - WA;1303 Northeast 45th Street;98105;Seattle;WA;;2024-07-26;19:30;56;224;https://seatgeek.com/benise-tickets/seattle-washington-neptune-theatre-wa-2024-07-26-7-30-pm/concert/6238958
Chris Stapleton with Willie Nelson and Sheryl Crow;T-Mobile Park;1250 First Avenue;98134;Seattle;WA;;2024-07-27;18:30;123;7810;https://seatgeek.com/chris-stapleton-tickets/seattle-washington-t-mobile-park-2024-07-27-6-30-pm/concert/6251561
Olivia Rodrigo with PinkPantheress;Climate Pledge Arena;401 1st Ave.;98109;Seattle;WA;;2024-08-06;19:30;287;11155;https://seatgeek.com/olivia-rodrigo-tickets/seattle-washington-climate-pledge-arena-3-2024-08-06-7-30-pm/concert/6178778
Olivia Rodrigo with PinkPantheress;Climate Pledge Arena;401 1st Ave.;98109;Seattle;WA;;2024-08-07;19:30;280;142819;https://seatgeek.com/olivia-rodrigo-tickets/seattle-washington-climate-pledge-arena-3-2024-08-07-7-30-pm/concert/6184061
Kane Brown with Chris Young, LOCASH, & RaeLynn;T-Mobile Park;1250 First Avenue;98134;Seattle;WA;;2024-08-16;19:00;88;3908;https://seatgeek.com/kane-brown-tickets/seattle-washington-t-mobile-park-2024-08-16-7-pm/concert/6191172
Foo Fighters with Pretenders and Alex G;T-Mobile Park;1250 First Avenue;98134;Seattle;WA;;2024-08-18;17:30;87;2444;https://seatgeek.com/foo-fighters-tickets/seattle-washington-t-mobile-park-2024-08-18-5-30-pm/concert/6206073
Metallica with Pantera, Five Finger Death Punch, Mammoth WVH and Ice Nine Kills (2 Day Pass);Lumen Field;800 Occidental Ave S;98134;Seattle;WA;;2024-08-30;03:30;155;124711;https://seatgeek.com/metallica-tickets/seattle-washington-lumen-field-2024-08-30-3-30-am/concert/5881771
Metallica with Pantera and Mammoth WVH;Lumen Field;800 Occidental Ave S;98134;Seattle;WA;;2024-08-30;18:00;82;214749;https://seatgeek.com/metallica-tickets/seattle-washington-lumen-field-2024-08-30-6-pm/concert/5881801
Metallica with Five Finger Death Punch and Ice Nine Kills;Lumen Field;800 Occidental Ave S;98134;Seattle;WA;;2024-09-01;18:00;77;5409;https://seatgeek.com/metallica-tickets/seattle-washington-lumen-field-2024-09-01-6-pm/concert/5881822
Lynyrd Skynyrd + ZZ Top;White River Amphitheatre;40601 Auburn Enumclaw Rd.;98092;Auburn;WA;;2024-09-21;19:00;53;1901;https://seatgeek.com/lynyrd-skynyrd-tickets/auburn-washington-white-river-amphitheatre-2024-09-21-7-pm/concert/6255504
Gloria Trevi with MAR;White River Amphitheatre;40601 Auburn Enumclaw Rd.;98092;Auburn;WA;;2024-09-22;20:00;57;1903;https://seatgeek.com/gloria-trevi-tickets/auburn-washington-white-river-amphitheatre-2024-09-22-8-pm/concert/6228668
Lainey Wilson with Jackson Dean and Zach Top;White River Amphitheatre;40601 Auburn Enumclaw Rd.;98092;Auburn;WA;;2024-09-27;19:00;84;1231;https://seatgeek.com/lainey-wilson-tickets/auburn-washington-white-river-amphitheatre-2024-09-27-7-pm/concert/6241338
Iron Maiden;Tacoma Dome;2727 East D Street;98421;Tacoma;WA;;2024-10-16;19:30;87;1456;https://seatgeek.com/iron-maiden-tickets/tacoma-washington-tacoma-dome-2024-10-16-7-30-pm/concert/6254062
Zach Bryan with Matt Maeson and Levi Turner;Tacoma Dome;2727 East D Street;98421;Tacoma;WA;;2024-11-22;19:00;135;3908;https://seatgeek.com/zach-bryan-tickets/tacoma-washington-tacoma-dome-2024-11-22-7-pm/concert/6157453
Zach Bryan with Matt Maeson and Levi Turner;Tacoma Dome;2727 East D Street;98421;Tacoma;WA;;2024-11-23;19:00;154;4065;https://seatgeek.com/zach-bryan-tickets/tacoma-washington-tacoma-dome-2024-11-23-7-pm/concert/6157455
Distant Worlds: Music From Final Fantasy;McCaw Hall;321 Mercer Street;98109;Seattle;WA;;2024-01-20;20:00;105;562;https://seatgeek.com/final-fantasy-tickets/seattle-washington-mccaw-hall-2024-01-20-8-pm/concert/6184781
Slaughter Beach, Dog;The Showbox;1426 1st Ave;98101;Seattle;WA;;2024-01-20;21:00;59;468;https://seatgeek.com/slaughter-beach-dog-tickets/seattle-washington-the-showbox-2024-01-20-9-pm/concert/6162056
Qveen Herby;The Crocodile;2200 2nd Avenue;98121;Seattle;WA;;2024-01-21;18:00;71;563;https://seatgeek.com/qveen-herby-tickets/seattle-washington-the-crocodile-2-2024-01-21-6-pm/concert/6255090
DJ Shadow;Neptune Theatre - WA;1303 Northeast 45th Street;98105;Seattle;WA;;2024-01-24;20:00;92;139;https://seatgeek.com/dj-shadow-tickets/seattle-washington-neptune-theatre-wa-2024-01-24-8-pm/concert/6256174
Buck Meek (21+);The Crocodile;2200 2nd Avenue;98121;Seattle;WA;;2024-01-24;20:00;45;78;https://seatgeek.com/buck-meek-tickets/seattle-washington-the-crocodile-2-2024-01-24-8-pm/concert/6099106
Martin Sexton;Kirkland Performance Center;350 Kirkland Avenue;98033;Kirkland;WA;;2024-01-25;19:00;90;326;https://seatgeek.com/martin-sexton-tickets/kirkland-washington-kirkland-performance-center-2024-01-25-7-pm/concert/6226035
Dar Williams with Amy Ray;Neptune Theatre - WA;1303 Northeast 45th Street;98105;Seattle;WA;;2024-01-25;20:00;80;582;https://seatgeek.com/dar-williams-tickets/seattle-washington-neptune-theatre-wa-2024-01-25-8-pm/concert/6174170
Super Diamond - The Neil Diamond Tribute Band;The Showbox;1426 1st Ave;98101;Seattle;WA;;2024-01-26;21:00;71;73;https://seatgeek.com/super-diamond-the-neil-diamond-tribute-band-1-tickets/seattle-washington-the-showbox-2024-01-26-9-pm/concert/6045202
moe.;Neptune Theatre - WA;1303 Northeast 45th Street;98105;Seattle;WA;;2024-01-27;20:00;65;111;https://seatgeek.com/moe-tickets/seattle-washington-neptune-theatre-wa-2024-01-27-8-pm/concert/6249828
G3 with Joe Satriani, Eric Johnson and Steve Vai;Moore Theatre;1932 2nd Avenue;98101;Seattle;WA;;2024-01-31;19:30;88;3872;https://seatgeek.com/g3-tickets/seattle-washington-moore-theatre-2024-01-31-7-30-pm/concert/6175036
JP Saxe;The Showbox;1426 1st Ave;98101;Seattle;WA;;2024-01-31;20:30;55;545;https://seatgeek.com/jp-saxe-tickets/seattle-washington-the-showbox-2024-01-31-8-30-pm/concert/6144658
Excision (18+);Tacoma Dome;2727 East D Street;98421;Tacoma;WA;;2024-02-02;17:30;136;524;https://seatgeek.com/excision-tickets/tacoma-washington-tacoma-dome-2024-02-02-5-30-pm/concert/6177908
Foghat;Admiral Theatre;515 Pacific Avenue;98337;Bremerton;WA;;2024-02-02;19:30;58;169;https://seatgeek.com/foghat-tickets/bremerton-washington-admiral-theatre-2024-02-02-7-30-pm/concert/6231440
The Elovaters with Shwayze;Neptune Theatre - WA;1303 Northeast 45th Street;98105;Seattle;WA;;2024-02-02;20:00;46;643;https://seatgeek.com/the-elovaters-tickets/seattle-washington-neptune-theatre-wa-2024-02-02-8-pm/concert/6183307
Excision - 3 Day Pass (18+);Tacoma Dome;2727 East D Street;98421;Tacoma;WA;;2024-02-03;03:30;683;751;https://seatgeek.com/excision-tickets/tacoma-washington-tacoma-dome-2024-02-03-3-30-am/concert/6164911
Excision - Friday Pass (18+);Tacoma Dome;2727 East D Street;98421;Tacoma;WA;;2024-02-03;18:00;160;573;https://seatgeek.com/excision-tickets/tacoma-washington-tacoma-dome-2024-02-03-6-pm/concert/6164905
Cold War Kids with Hovvdy;Moore Theatre;1932 2nd Avenue;98101;Seattle;WA;;2024-02-03;20:00;72;524;https://seatgeek.com/cold-war-kids-tickets/seattle-washington-moore-theatre-2024-02-03-8-pm/concert/6177617
Excision - Saturday Pass (18+);Tacoma Dome;2727 East D Street;98421;Tacoma;WA;;2024-02-04;18:00;107;414;https://seatgeek.com/excision-tickets/tacoma-washington-tacoma-dome-2024-02-04-6-pm/concert/6164907
Neck Deep;Showbox SoDo;1700 1st Avenue South;98134;Seattle;WA;;2024-02-05;19:00;77;510;https://seatgeek.com/neck-deep-tickets/seattle-washington-showbox-sodo-2024-02-05-7-pm/concert/6219922
Thursday with Rival School and Many Eyes;The Crocodile;2200 2nd Avenue;98121;Seattle;WA;;2024-02-05;19:00;86;246;https://seatgeek.com/thursday-tickets/seattle-washington-the-crocodile-2-2024-02-05-7-pm/concert/6225064
The Kills;Showbox SoDo;1700 1st Avenue South;98134;Seattle;WA;;2024-02-07;20:00;78;451;https://seatgeek.com/the-kills-tickets/seattle-washington-showbox-sodo-2024-02-07-8-pm/concert/6248863
Gov't Mule;Moore Theatre;1932 2nd Avenue;98101;Seattle;WA;;2024-02-09;20:00;81;332;https://seatgeek.com/gov-t-mule-tickets/seattle-washington-moore-theatre-2024-02-09-8-pm/concert/6223472
Mayer Hawthorne;Neptune Theatre - WA;1303 Northeast 45th Street;98105;Seattle;WA;;2024-02-09;20:00;57;491;https://seatgeek.com/mayer-hawthorne-tickets/seattle-washington-neptune-theatre-wa-2024-02-09-8-pm/concert/6202639
The Temptations;Paramount Theatre - WA;911 Pine Street;98101;Seattle;WA;;2024-02-10;20:00;68;2276;https://seatgeek.com/the-temptations-tickets/seattle-washington-paramount-theatre-wa-2024-02-10-8-pm/concert/6012083
Postmodern Jukebox;Paramount Theatre - WA;911 Pine Street;98101;Seattle;WA;;2024-02-11;20:00;58;999;https://seatgeek.com/postmodern-jukebox-tickets/seattle-washington-paramount-theatre-wa-2024-02-11-8-pm/concert/6202977
Eliades Ochoa;Moore Theatre;1932 2nd Avenue;98101;Seattle;WA;;2024-02-13;19:30;51;238;https://seatgeek.com/eliades-ochoa-tickets/seattle-washington-moore-theatre-2024-02-13-7-30-pm/concert/6063460
Maddie Zahm;Neptune Theatre - WA;1303 Northeast 45th Street;98105;Seattle;WA;;2024-02-15;20:00;50;491;https://seatgeek.com/maddie-zahm-tickets/seattle-washington-neptune-theatre-wa-2024-02-15-8-pm/concert/6211981
Silversun Pickups;Moore Theatre;1932 2nd Avenue;98101;Seattle;WA;;2024-02-15;20:00;60;935;https://seatgeek.com/silversun-pickups-tickets/seattle-washington-moore-theatre-2024-02-15-8-pm/concert/6248522
The Beaches;Neumos;925 East Pike Street;98122;Seattle;WA;;2024-02-15;20:00;49;439;https://seatgeek.com/the-beaches-tickets/seattle-washington-neumos-2024-02-15-8-pm/concert/6255069
Feist;Showbox SoDo;1700 1st Avenue South;98134;Seattle;WA;;2024-02-16;20:00;71;451;https://seatgeek.com/feist-tickets/seattle-washington-showbox-sodo-2024-02-16-8-pm/concert/6249631
Lukas Graham;Neptune Theatre - WA;1303 Northeast 45th Street;98105;Seattle;WA;;2024-02-16;20:00;62;524;https://seatgeek.com/lukas-graham-tickets/seattle-washington-neptune-theatre-wa-2024-02-16-8-pm/concert/6176520
Cory Wong;Paramount Theatre - WA;911 Pine Street;98101;Seattle;WA;;2024-02-16;20:00;55;741;https://seatgeek.com/cory-wong-tickets/seattle-washington-paramount-theatre-wa-2024-02-16-8-pm/concert/6146043
The Beaches;Neumos;925 East Pike Street;98122;Seattle;WA;;2024-02-16;20:00;76;305;https://seatgeek.com/the-beaches-tickets/seattle-washington-neumos-2024-02-16-8-pm/concert/6233098
The Devil Wears Prada and Fit For A King;Showbox SoDo;1700 1st Avenue South;98134;Seattle;WA;;2024-02-17;19:00;59;451;https://seatgeek.com/the-devil-wears-prada-tickets/seattle-washington-showbox-sodo-2024-02-17-7-pm/concert/6249741
TobyMac with Cory Asbury, Mac Powell, Tasha Layton, John Reddick, and Terrian;ShoWare Center;625 West James Street;98032;Kent;WA;;2024-02-17;19:00;56;340;https://seatgeek.com/tobymac-tickets/kent-washington-showare-center-2024-02-17-7-pm/concert/6179911
Madonna (Rescheduled from 7/18/2023);Climate Pledge Arena;401 1st Ave.;98109;Seattle;WA;;2024-02-17;20:30;107;3762;https://seatgeek.com/madonna-tickets/seattle-washington-climate-pledge-arena-3-2024-02-17-8-30-pm/concert/5915065
Madonna (Rescheduled from 7/19/2023);Climate Pledge Arena;401 1st Ave.;98109;Seattle;WA;;2024-02-18;20:30;105;3845;https://seatgeek.com/madonna-tickets/seattle-washington-climate-pledge-arena-3-2024-02-18-8-30-pm/concert/5920537
Em Beihold;Neumos;925 East Pike Street;98122;Seattle;WA;;2024-02-22;19:00;54;451;https://seatgeek.com/em-beihold-tickets/seattle-washington-neumos-2024-02-22-7-pm/concert/6232758
Katy Kirby;Barboza;925 East Pike Street;98122;Seattle;WA;;2024-02-22;19:00;52;140;https://seatgeek.com/katy-kirby-tickets/seattle-washington-barboza-2024-02-22-7-pm/concert/6249649
Mahalia;Neptune Theatre - WA;1303 Northeast 45th Street;98105;Seattle;WA;;2024-02-22;20:00;56;474;https://seatgeek.com/mahalia-tickets/seattle-washington-neptune-theatre-wa-2024-02-22-8-pm/concert/6211982
The Hotelier and Foxing;The Crocodile;2200 2nd Avenue;98121;Seattle;WA;;2024-02-23;17:45;55;189;https://seatgeek.com/the-hotelier-tickets/seattle-washington-the-crocodile-2-2024-02-23-5-45-pm/concert/6064910
COBRAH;Neumos;925 East Pike Street;98122;Seattle;WA;;2024-02-23;20:00;73;469;https://seatgeek.com/cobrah-tickets/seattle-washington-neumos-2024-02-23-8-pm/concert/6242507
Dorian Electra with Frost Children;Neptune Theatre - WA;1303 Northeast 45th Street;98105;Seattle;WA;;2024-02-23;20:00;57;469;https://seatgeek.com/dorian-electra-tickets/seattle-washington-neptune-theatre-wa-2024-02-23-8-pm/concert/6225687
The Music of David Bowie for Kids;Benaroya Hall;200 University Street;98101;Seattle;WA;;2024-02-23;20:00;85;183;https://seatgeek.com/the-music-of-david-bowie-for-kids-tickets/seattle-washington-benaroya-hall-2024-02-23-8-pm/concert/6177555
Sarah Jarosz;The Crocodile;2200 2nd Avenue;98121;Seattle;WA;;2024-02-24;18:00;54;134;https://seatgeek.com/sarah-jarosz-tickets/seattle-washington-the-crocodile-2-2024-02-24-6-pm/concert/6220001
Eli Young Band;Admiral Theatre;515 Pacific Avenue;98337;Bremerton;WA;;2024-02-24;19:30;63;188;https://seatgeek.com/eli-young-band-tickets/bremerton-washington-admiral-theatre-2024-02-24-7-30-pm/concert/6226861
Kitchen Dwellers;Neptune Theatre - WA;1303 Northeast 45th Street;98105;Seattle;WA;;2024-02-24;20:00;51;451;https://seatgeek.com/kitchen-dwellers-tickets/seattle-washington-neptune-theatre-wa-2024-02-24-8-pm/concert/6249829
Voctave;Federal Way Performing Arts Event Center Theater;31510 Pete von Reichbauer Way South;98003;Federal Way;WA;;2024-02-25;19:30;132;166;https://seatgeek.com/voctave-tickets/federal-way-washington-federal-way-performing-arts-event-center-theater-2-2024-02-25-7-30-pm/concert/6232404
Helado Negro;Neptune Theatre - WA;1303 Northeast 45th Street;98105;Seattle;WA;;2024-02-25;20:00;42;469;https://seatgeek.com/helado-negro-tickets/seattle-washington-neptune-theatre-wa-2024-02-25-8-pm/concert/6238959
Waterparks;Showbox SoDo;1700 1st Avenue South;98134;Seattle;WA;;2024-02-26;19:00;70;451;https://seatgeek.com/waterparks-tickets/seattle-washington-showbox-sodo-2024-02-26-7-pm/concert/6234104
Jeff Rosenstock with Small Crush;The Showbox;1426 1st Ave;98101;Seattle;WA;;2023-12-11;19:00;60;467;https://seatgeek.com/jeff-rosenstock-tickets/seattle-washington-the-showbox-2023-12-11-7-pm/concert/6035314
Cattle Decapitation;The Crocodile;2200 2nd Avenue;98121;Seattle;WA;;2023-12-11;19:00;61;153;https://seatgeek.com/cattle-decapitation-tickets/seattle-washington-the-crocodile-2-2023-12-11-7-pm/concert/6112163
Armor For Sleep;El Corazon;109 Eastlake Ave E;98109;Seattle;WA;;2023-12-11;19:30;61;524;https://seatgeek.com/armor-for-sleep-tickets/seattle-washington-el-corazon-2023-12-11-7-30-pm/concert/6106405
Devendra Banhart;Neptune Theatre - WA;1303 Northeast 45th Street;98105;Seattle;WA;;2023-12-12;20:00;54;469;https://seatgeek.com/devendra-banhart-tickets/seattle-washington-neptune-theatre-wa-2023-12-12-8-pm/concert/6058620
The Midtown Men;Kirkland Performance Center;350 Kirkland Avenue;98033;Kirkland;WA;;2023-12-13;19:00;143;173;https://seatgeek.com/the-midtown-men-tickets/kirkland-washington-kirkland-performance-center-2023-12-13-7-pm/concert/6254571
Mariachi Sol de Mexico;Moore Theatre;1932 2nd Avenue;98101;Seattle;WA;;2023-12-13;19:30;58;564;https://seatgeek.com/mariachi-sol-de-mexico-tickets/seattle-washington-moore-theatre-2023-12-13-7-30-pm/concert/6063465
Grieves;The Crocodile;2200 2nd Avenue;98121;Seattle;WA;;2023-12-14;19:00;51;145;https://seatgeek.com/grieves-tickets/seattle-washington-the-crocodile-2-2023-12-14-7-pm/concert/6255677
Paul Cauthen (21+);The Showbox;1426 1st Ave;98101;Seattle;WA;;2023-12-14;20:30;76;524;https://seatgeek.com/paul-cauthen-tickets/seattle-washington-the-showbox-2023-12-14-8-30-pm/concert/6113476
The Midtown Men;Admiral Theatre;515 Pacific Avenue;98337;Bremerton;WA;;2023-12-15;19:30;59;169;https://seatgeek.com/the-midtown-men-tickets/bremerton-washington-admiral-theatre-2023-12-15-7-30-pm/concert/6231442
Ginger Root;Neptune Theatre - WA;1303 Northeast 45th Street;98105;Seattle;WA;;2023-12-15;20:00;63;557;https://seatgeek.com/ginger-root-tickets/seattle-washington-neptune-theatre-wa-2023-12-15-8-pm/concert/6174169
Cayucas (21+);Nectar Lounge;412 North 36th Street;98103;Seattle;WA;;2023-12-16;20:00;45;116;https://seatgeek.com/cayucas-tickets/seattle-washington-nectar-lounge-2023-12-16-8-pm/concert/6128081
Dance Yourself Clean;Chop Suey;1325 E Madison St;98122;Seattle;WA;;2023-12-16;21:00;17;158;https://seatgeek.com/dance-yourself-clean-tickets/seattle-washington-chop-suey-2023-12-16-9-pm/concert/6168704
Apashe;Showbox SoDo;1700 1st Avenue South;98134;Seattle;WA;;2023-12-16;22:00;83;496;https://seatgeek.com/apashe-tickets/seattle-washington-showbox-sodo-2023-12-16-10-pm/concert/6118792
Matt Rogers;Moore Theatre;1932 2nd Avenue;98101;Seattle;WA;;2023-12-19;20:00;66;631;https://seatgeek.com/matt-rogers-tickets/seattle-washington-moore-theatre-2023-12-19-8-pm/concert/6220240
Portland Cello Project;Kirkland Performance Center;350 Kirkland Avenue;98033;Kirkland;WA;;2023-12-21;19:00;88;160;https://seatgeek.com/portland-cello-project-tickets/kirkland-washington-kirkland-performance-center-2023-12-21-7-pm/concert/6254570
Zakk Sabbath with The Native Howl;Neptune Theatre - WA;1303 Northeast 45th Street;98105;Seattle;WA;;2023-12-21;19:30;77;474;https://seatgeek.com/zakk-sabbath-tickets/seattle-washington-neptune-theatre-wa-2023-12-21-7-30-pm/concert/6214777
Macklemore & Ryan Lewis;Climate Pledge Arena;401 1st Ave.;98109;Seattle;WA;;2023-12-21;19:30;60;3481;https://seatgeek.com/macklemore-ryan-lewis-tickets/seattle-washington-climate-pledge-arena-3-2023-12-21-7-30-pm/concert/6047598
The Jinkx and Dela Holiday Show - Seattle;Moore Theatre;1932 2nd Avenue;98101;Seattle;WA;;2023-12-21;20:00;82;711;https://seatgeek.com/jinkx-monsoon-tickets/seattle-washington-moore-theatre-2023-12-21-8-pm/concert/6094684
Macklemore & Ryan Lewis;Climate Pledge Arena;401 1st Ave.;98109;Seattle;WA;;2023-12-22;19:30;65;1182;https://seatgeek.com/macklemore-ryan-lewis-tickets/seattle-washington-climate-pledge-arena-3-2023-12-22-7-30-pm/concert/6051788
The Jinkx and Dela Holiday Show - Seattle;Moore Theatre;1932 2nd Avenue;98101;Seattle;WA;;2023-12-22;20:00;71;954;https://seatgeek.com/jinkx-monsoon-tickets/seattle-washington-moore-theatre-2023-12-22-8-pm/concert/6094685
The Jinkx and Dela Holiday Show - Seattle;Moore Theatre;1932 2nd Avenue;98101;Seattle;WA;;2023-12-23;20:00;82;1188;https://seatgeek.com/jinkx-monsoon-tickets/seattle-washington-moore-theatre-2023-12-23-8-pm/concert/6094687
Dance Yourself Clean;Chop Suey;1325 E Madison St;98122;Seattle;WA;;2023-12-23;21:00;17;158;https://seatgeek.com/dance-yourself-clean-tickets/seattle-washington-chop-suey-2023-12-23-9-pm/concert/6168703
The Jinkx and Dela Holiday Show - Seattle;Moore Theatre;1932 2nd Avenue;98101;Seattle;WA;;2023-12-24;15:00;82;848;https://seatgeek.com/jinkx-monsoon-tickets/seattle-washington-moore-theatre-2023-12-24-3-pm/concert/6094689
Samantha Fish;The Crocodile;2200 2nd Avenue;98121;Seattle;WA;;2023-12-29;18:00;69;157;https://seatgeek.com/samantha-fish-tickets/seattle-washington-the-crocodile-2-2023-12-29-6-pm/concert/6255679
Samantha Fish;Admiral Theatre;515 Pacific Avenue;98337;Bremerton;WA;;2023-12-30;19:30;54;138;https://seatgeek.com/samantha-fish-tickets/bremerton-washington-admiral-theatre-2023-12-30-7-30-pm/concert/6218392
